№   | Language                      | ISO-639 code | Text                   
----------------------------------------------------------------------------
1   | Abkhaz                        | abk          | Good day               
2   | Acehnese                      | ace          | Uroe yang geut         
3   | Acholi                        | ach          | Bed ki ninu ma be      
4   | Afar                          | aar          | Good day               
5   | Afrikaans                     | af           | Goeie dag              
6   | Albanian                      | sq           | dite te mire           
7   | Alur                          | alz          | Ri maber               
8   | Amharic                       | am           | እንደምን ዋልክ              
9   | Arabic                        | ar           | يوم جيد                
10  | Armenian                      | hy           | Բարի օր                
11  | Assamese                      | as           | শুভ দিন                
12  | Avar                          | ava          | Good day               
13  | Awadhi                        | awa          | तुमार दिन सुभ होय      
14  | Aymara                        | ay           | Aski uru               
15  | Azerbaijani                   | az           | Gününüz xeyir          
16  | Balinese                      | ban          | Éngken kabaré          
17  | Baluchi                       | bal          | روچ وش بات             
18  | Bambara                       | bm           | Ka tile hɛrɛ           
19  | Baoulé                        | bci          | Tʃin kpa               
20  | Bashkir                       | bak          | Good day               
21  | Basque                        | eu           | Egun on                
22  | Batak karo                    | btx          | Wari mehuli            
23  | Batak simalungun              | bts          | Dear sadarion          
24  | Batak toba                    | bbc          | Ari nadenggan          
25  | Belarusian                    | be           | Дзень добры            
26  | Bemba                         | bem          | Umutende               
27  | Bengali                       | bn           | শুভ দিন                
28  | Betawi                        | bew          | Met siang              
29  | Bhojpuri                      | bho          | दिन सुभ हो             
30  | Bikol                         | bik          | Marhay na aldaw        
31  | Bosnian                       | bs           | Dobar dan              
32  | Breton                        | bre          | Good day               
33  | Bulgarian                     | bg           | Добър ден              
34  | Buryat                        | bua          | Һайн үдэр              
35  | Cantonese                     | yue          | 祝你今日愉快                 
36  | Catalan                       | ca           | Bon dia                
37  | Cebuano                       | ceb          | Maayong adlaw          
38  | Chamorro                      | cha          | Good day               
39  | Chechen                       | che          | Good day               
40  | Chinese                       | zh           | 再会                     
41  | Chinese (simplified)          | zh-cn        | 再会                     
42  | Chinese (traditional)         | zh-tw        | 再會                     
43  | Chuukese                      | chk          | Ran annim              
44  | Chuvash                       | chv          | Good day               
45  | Corsican                      | co           | Bella ghjurnata        
46  | Crimean tatar                 | crh          | Хайырлы куньлер        
47  | Croatian                      | hr           | Dobar dan              
48  | Czech                         | cs           | Dobrý den              
49  | Danish                        | da           | God dag                
50  | Dari                          | fa-af        | روز بخیر               
51  | Dhivehi                       | dv           | ބާއްޖަވެރި ދުވަހެއް    
52  | Dinka                         | din          | Ok abï yök             
53  | Dogri                         | doi          | दिन चंगा होए           
54  | Dombe                         | dom          | Good day               
55  | Dutch                         | nl           | Goededag               
56  | Dyula                         | dyu          | Ka tile hɛrɛ           
57  | Dzongkha                      | dzo          | Good day               
58  | English                       | en           | Good day               
59  | Esperanto                     | eo           | Bonan tagon            
60  | Estonian                      | et           | Hea päev               
61  | Faroese                       | fao          | Good day               
62  | Fijian                        | fij          | Good day               
63  | Filipino (tagalog)            | fil          | Magandang araw po      
64  | Finnish                       | fi           | Hyvää päivää           
65  | Fon                           | fon          | Azǎn ɖagbe             
66  | French                        | fr           | Bonne journée          
67  | Frisian                       | fy           | Goeie dei              
68  | Friulian                      | fur          | Buine zornade          
69  | Fulani                        | ful          | Good day               
70  | Ga                            | gaa          | Gbi kpakpa             
71  | Galician                      | gl           | Bo día                 
72  | Georgian                      | ka           | კარგი დღე              
73  | German                        | de           | Guten Tag              
74  | Greek                         | el           | Καλημέρα               
75  | Guarani                       | gn           | Mba'éichapa neko'ẽ     
76  | Gujarati                      | gu           | શુભ દિવસ               
77  | Haitian creole                | ht           | Bon jounen             
78  | Hakha chin                    | cnh          | Chun tha               
79  | Hausa                         | ha           | Ina kwana              
80  | Hawaiian                      | haw          | He lā maikaʻi          
81  | Hebrew                        | he           | יום טוב                
82  | Hebrew                        | iw           | יום טוב                
83  | Hiligaynon                    | hil          | Mayad nga adlaw        
84  | Hindi                         | hi           | शुभ दिन                
85  | Hmong                         | hmn          | Nyob zoo               
86  | Hungarian                     | hu           | Jó napot kívánok       
87  | Hunsrik                       | hrx          | Xeen taach             
88  | Iban                          | iba          | Hari manah             
89  | Icelandic                     | is           | Góðan dag              
90  | Igbo                          | ig           | Ehihie ọma             
91  | Ilocano                       | ilo          | Naimbag nga aldaw      
92  | Indonesian                    | id           | Selamat tinggal        
93  | Irish                         | ga           | Lá maith               
94  | Italian                       | it           | Buona giornata         
95  | Jamaican patois               | jam          | Gud day                
96  | Japanese                      | ja           | 良い一日                   
97  | Javanese                      | jv           | sugeng siang           
98  | Javanese                      | jw           | sugeng siang           
99  | Jingpo                        | kac          | Shani kaja rai u ga    
100 | Kalaallisut                   | kal          | Good day               
101 | Kannada                       | kn           | ಶುಭದಿನ                 
102 | Kanuri                        | kau          | Good day               
103 | Kapampangan                   | pam          | Mimingat               
104 | Kazakh                        | kk           | Қайырлы күн            
105 | Khasi                         | kha          | Khublei                
106 | Khmer                         | km           | ថ្ងៃល្អ។               
107 | Kiga                          | cgg          | Eizoba rirungi         
108 | Kikongo                       | kik          | Good day               
109 | Kinyarwanda                   | rw           | Umunsi mwiza           
110 | Kituba                        | ktu          | Kilumbu ya mbote       
111 | Kokborok                      | trp          | Sal kaham              
112 | Komi                          | kom          | Good day               
113 | Konkani                       | gom          | उत्तम दीस              
114 | Korean                        | ko           | 안녕하세요                  
115 | Krio                          | kri          | Adu-o                  
116 | Kurdish                       | ku           | Roj baş                
